## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectWgsMetrics INPUT=D:\downloads\big.bam OUTPUT=out_CollectWgsMetrics.txt REFERENCE_SEQUENCE=D:\downloads\genome.fa    MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 COVERAGE_CAP=250 LOCUS_ACCUMULATION_CAP=100000 STOP_AFTER=-1 INCLUDE_BQ_HISTOGRAM=false COUNT_UNPAIRED=false SAMPLE_SIZE=10000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Jul 20 22:59:27 MSK 2016

## METRICS CLASS	picard.analysis.CollectWgsMetrics$WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_1X	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X	HET_SNP_SENSITIVITY	HET_SNP_Q
2858674665	5.72758	20.610401	0	0	0.075042	0.099281	0.006353	0.040964	0.001731	0.005223	0.228595	0.077778	0.077392	0.077059	0.076737	0.076376	0.075924	0.075323	0.073433	0.070003	0.063209	0.049954	0.03048	0.012805	0.003681	0.077594	0

## HISTOGRAM	java.lang.Integer
coverage	count
0	2636332871
1	391266
2	267021
3	232396
4	213224
5	200115
6	193936
7	189423
8	184850
9	183648
10	181737
11	182175
12	183349
13	183872
14	187714
15	192899
16	199466
17	205625
18	213704
19	222559
20	232721
21	244786
22	257001
23	271249
24	286273
25	302876
26	323057
27	341233
28	363161
29	385197
30	408765
31	434778
32	459574
33	488857
34	517524
35	550121
36	581564
37	617236
38	653680
39	691354
40	734255
41	777419
42	826450
43	876276
44	932217
45	991263
46	1057567
47	1126942
48	1200003
49	1284107
50	1373549
51	1475107
52	1588263
53	1702089
54	1832298
55	1971053
56	2117591
57	2280381
58	2449330
59	2631197
60	2820703
61	3022485
62	3231508
63	3443533
64	3666247
65	3887290
66	4121002
67	4344734
68	4574163
69	4781690
70	4983982
71	5177752
72	5343055
73	5495274
74	5622516
75	5724632
76	5798134
77	5839536
78	5849862
79	5834425
80	5773865
81	5682801
82	5568949
83	5417716
84	5247168
85	5043014
86	4825320
87	4579693
88	4325974
89	4063020
90	3792809
91	3516755
92	3241886
93	2966253
94	2703552
95	2441469
96	2192419
97	1957966
98	1736889
99	1531194
100	1341545
101	1173088
102	1013786
103	873195
104	748686
105	638346
106	541879
107	456982
108	383368
109	319616
110	265878
111	219609
112	182405
113	150020
114	123875
115	102048
116	83464
117	69357
118	57554
119	48230
120	40300
121	34661
122	30083
123	26602
124	23725
125	21239
126	19362
127	18189
128	17307
129	16178
130	15809
131	15303
132	14686
133	14217
134	14305
135	13812
136	13863
137	13932
138	13816
139	13753
140	13603
141	13347
142	13501
143	13431
144	13358
145	13525
146	13336
147	13318
148	13302
149	13527
150	13209
151	13033
152	12951
153	12615
154	12644
155	12546
156	12599
157	12446
158	12456
159	12460
160	12197
161	12229
162	12062
163	12035
164	12067
165	11840
166	11553
167	11552
168	11365
169	11128
170	10990
171	10738
172	10439
173	10553
174	10270
175	9936
176	9822
177	9709
178	9401
179	9083
180	9124
181	8908
182	8612
183	8361
184	8141
185	8136
186	7809
187	7566
188	7527
189	7266
190	7300
191	7095
192	6914
193	6802
194	6645
195	6703
196	6487
197	6497
198	6457
199	6275
200	6154
201	6034
202	6285
203	6137
204	6060
205	6083
206	6071
207	6007
208	6006
209	6141
210	5850
211	5890
212	5822
213	5701
214	5651
215	5719
216	5631
217	5465
218	5517
219	5408
220	5362
221	5232
222	5297
223	5335
224	5224
225	5180
226	4999
227	5066
228	5134
229	5128
230	5074
231	5073
232	4956
233	4800
234	4803
235	4899
236	4827
237	4760
238	4748
239	4759
240	4591
241	4562
242	4343
243	4364
244	4454
245	4273
246	4172
247	4229
248	4331
249	4183
250	448552

